# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.018500000e+03    5.664667606e-04    1.319948277e+00    2.575305751e-04
2.018600000e+03    5.730669392e-04    1.319937362e+00    2.637415770e-04
2.018700000e+03    5.758669307e-04    1.319927338e+00    2.665831021e-04
2.018800000e+03    5.754670448e-04    1.319918017e+00    2.665897754e-04
2.018900000e+03    5.740169908e-04    1.319911480e+00    2.655603978e-04
2.019000000e+03    5.725670891e-04    1.319904210e+00    2.645616158e-04
2.019100000e+03    5.676670068e-04    1.319897720e+00    2.605061382e-04
2.019200000e+03    5.610670522e-04    1.319893356e+00    2.548729334e-04
2.019300000e+03    5.535669316e-04    1.319892599e+00    2.483017999e-04
2.019400000e+03    5.496669822e-04    1.319893867e+00    2.448029661e-04
2.019500000e+03    5.457668932e-04    1.319892936e+00    2.413954348e-04
2.019600000e+03    5.383669150e-04    1.319893723e+00    2.348496758e-04
2.019700000e+03    5.320667897e-04    1.319898365e+00    2.291086845e-04
2.019800000e+03    5.277668209e-04    1.319904476e+00    2.250601202e-04
2.019900000e+03    5.259667253e-04    1.319912123e+00    2.231388648e-04
2.020000000e+03    5.262667925e-04    1.319918921e+00    2.230931725e-04
2.020100000e+03    5.265667160e-04    1.319926349e+00    2.230211732e-04
2.020200000e+03    5.292667985e-04    1.319934626e+00    2.250169250e-04
2.020300000e+03    5.336667568e-04    1.319942272e+00    2.285279058e-04
2.020400000e+03    5.395668687e-04    1.319949550e+00    2.333680522e-04
2.020500000e+03    5.467668583e-04    1.319954963e+00    2.394238570e-04
2.020600000e+03    5.511669660e-04    1.319959260e+00    2.430725806e-04
2.020700000e+03    5.555669230e-04    1.319967908e+00    2.465403684e-04
2.020800000e+03    5.663670694e-04    1.319977276e+00    2.555841898e-04
2.020900000e+03    5.793671077e-04    1.319983499e+00    2.666845829e-04
2.021000000e+03    5.945673044e-04    1.319988515e+00    2.797610989e-04
2.021100000e+03    6.114673980e-04    1.319987680e+00    2.945679649e-04
2.021200000e+03    6.204675672e-04    1.319984054e+00    3.025705032e-04
2.021300000e+03    6.294675820e-04    1.319987343e+00    3.102854140e-04
2.021400000e+03    6.470678098e-04    1.319988578e+00    3.256163698e-04
2.021500000e+03    6.635679154e-04    1.319983152e+00    3.402588547e-04
2.021600000e+03    6.779681415e-04    1.319975566e+00    3.531508844e-04
2.021700000e+03    6.896682263e-04    1.319963484e+00    3.638638488e-04
2.021800000e+03    6.938183773e-04    1.319951361e+00    3.679668799e-04
2.021900000e+03    6.979683879e-04    1.319942730e+00    3.719246528e-04
2.022000000e+03    7.022685368e-04    1.319931520e+00    3.761204150e-04
2.022100000e+03    7.023685241e-04    1.319919159e+00    3.766863748e-04
2.022200000e+03    6.979686005e-04    1.319907029e+00    3.733033369e-04
2.022300000e+03    6.891685000e-04    1.319898892e+00    3.659033312e-04
2.022400000e+03    6.828685364e-04    1.319894721e+00    3.605282120e-04
2.022500000e+03    6.765684548e-04    1.319887613e+00    3.552752290e-04
2.022600000e+03    6.622684248e-04    1.319882560e+00    3.429356021e-04
2.022700000e+03    6.478682447e-04    1.319885704e+00    3.301699226e-04
2.022800000e+03    6.363682019e-04    1.319893096e+00    3.197674410e-04
